time,branch,commit_hash,branch_url,travis_url,commit_url,python_version,train_time,test_time,num_transients_found,num_transients_missed,num_false_positives,score

17/07/30 07:40,baseline,5f91179e,https://github.com/goto-obs/goto-vegas/tree/baseline,https://travis-ci.org/GOTO-OBS/goto-vegas/builds/259036213,https://github.com/goto-obs/goto-vegas/commit/5f91179ecd1fd825be71dc205a1881d0c45e21d8,2.7,0s,13s,56,39,56,0.569
17/07/31 04:10,baseline,165655c4,https://github.com/goto-obs/goto-vegas/tree/baseline,https://travis-ci.org/GOTO-OBS/goto-vegas/builds/259237705,https://github.com/goto-obs/goto-vegas/commit/165655c474774359c34de908ae4e700399e771d3,2.7,0s,35s,259,127,47,0.700
17/07/31 04:19,baseline,5f91179e,https://github.com/goto-obs/goto-vegas/tree/baseline,https://travis-ci.org/GOTO-OBS/goto-vegas/builds/259036213,https://github.com/goto-obs/goto-vegas/commit/5f91179ecd1fd825be71dc205a1881d0c45e21d8,2.7,0s,36s,259,127,47,0.700
17/07/31 11:43,rol-randomforest,06c55536,https://github.com/goto-obs/goto-vegas/tree/rol-randomforest,https://travis-ci.org/GOTO-OBS/goto-vegas/builds/259332720,https://github.com/goto-obs/goto-vegas/commit/06c555362f631edf51240928467b3ca2186e5f68,2.7,23s,2s,335,51,7,0.888
17/08/02 10:13,baseline,64c14196,https://github.com/goto-obs/goto-vegas/tree/baseline,https://travis-ci.org/GOTO-OBS/goto-vegas/builds/260133168,https://github.com/goto-obs/goto-vegas/commit/64c14196115a1f11f29b6325d47f3eb9a0f69657,2.7,0s,0s,207,179,6,0.589
